ALBUM,SONG,STREAMS,DAILY
FACE YOURSELF,MIC Drop - Japanese ver.,"15,003,244","57,772"
FACE YOURSELF,Not Today - Japanese ver.,"13,286,291","46,672"
FACE YOURSELF,OUTRO : Crack,"14,732,179","51,217"
FACE YOURSELF,Spring Day - Japanese ver.,"17,054,274","80,710"
MAP OF THE SOUL : PERSONA,Boy With Luv (feat. Halsey),"899,706,349","5,890,427"
MAP OF THE SOUL : PERSONA,Dionysus,"213,021,996","1,393,570"
MAP OF THE SOUL : PERSONA,HOME,"234,226,473","2,022,574"
MAP OF THE SOUL : PERSONA,Intro : Persona,"144,037,926","1,080,503"
MAP OF THE SOUL : PERSONA,Jamais Vu,"188,686,816","1,338,012"
MAP OF THE SOUL : PERSONA,Make It Right,"242,614,949","1,639,771"
MAP OF THE SOUL : PERSONA,Mikrokosmos,"249,223,555","1,778,272"
BE,Blue & Grey,"202,409,760","1,564,518"
BE,Dis-ease,"150,832,083","1,056,194"
BE,Dynamite,"1,446,657,024","13,206,991"
BE,Fly To My Room,"155,853,738","824,460"
BE,Life Goes On,"526,594,411","4,176,331"
BE,Skit,"36,334,994","163,172"
BE,Stay,"152,023,395","1,206,453"
BE,Telepathy,"178,395,132","1,489,365"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,Airplane pt.2 - Japanese ver.,"15,530,265","102,529"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,Black Swan - Japanese ver.,"8,662,072","57,555"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,Boy With Luv - Japanese ver.,"21,705,351","128,651"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,Dionysus - Japanese ver.,"8,308,764","48,033"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,FAKE LOVE - Japanese ver.,"14,127,518","87,268"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,IDOL - Japanese ver.,"12,846,926","74,619"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,INTRO : Calling,"10,218,531","54,206"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,Lights,"172,225,668","1,029,133"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,Make It Right - Japanese ver.,"8,977,033","60,077"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,ON - Japanese ver.,"8,364,541","55,212"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,OUTRO : The Journey,"9,072,210","50,187"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,Stay Gold,"204,878,096","1,181,579"
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,Your eyes tell,"154,811,218","970,372"
MAP OF THE SOUL : 7,00:00 (Zero O???Clock),"165,681,078","1,854,193"
MAP OF THE SOUL : 7,Black Swan,"347,264,704","2,386,307"
MAP OF THE SOUL : 7,Filter,"314,658,677","3,347,324"
MAP OF THE SOUL : 7,Friends,"174,872,606","1,697,068"
MAP OF THE SOUL : 7,Inner Child,"139,798,759","1,232,773"
MAP OF THE SOUL : 7,Interlude : Shadow,"98,999,950","871,059"
MAP OF THE SOUL : 7,Louder than bombs,"143,706,062","1,385,737"
MAP OF THE SOUL : 7,Moon,"151,349,394","1,679,250"
MAP OF THE SOUL : 7,My Time,"198,109,387","1,644,421"
MAP OF THE SOUL : 7,ON,"356,167,580","2,528,206"
MAP OF THE SOUL : 7,ON (Feat. Sia),"100,946,550","334,321"
MAP OF THE SOUL : 7,Outro : Ego,"112,384,984","1,125,304"
MAP OF THE SOUL : 7,Respect,"79,539,684","489,094"
MAP OF THE SOUL : 7,UGH!,"141,661,171","1,061,312"
MAP OF THE SOUL : 7,We are Bulletproof : the Eternal,"174,346,221","1,461,618"
Proof,Born Singer,"38,154,884","2,708,840"
Proof,Butter,"954,784,829","10,174,739"
Proof,For Youth,"49,993,986","4,015,664"
Proof,Run BTS,"96,651,132","10,391,738"
Proof,Yet To Come,"137,916,309","10,491,663"
"BTS, THE BEST",Film out,"199,735,802","1,681,231"
Dynamite,Dynamite - Bedroom Remix,"6,265,947","44,423"
Dynamite,Dynamite - Instrumental,"19,803,950","36,036"
Dynamite,Dynamite - Midnight Remix,"5,759,581","38,255"
Dynamite,Dynamite - Retro Remix,"6,353,770","43,640"
Dynamite,Dynamite - Slow Jam Remix,"7,648,361","55,239"
Dynamite,Dynamite - Acoustic Remix,"20,720,757","84,641"
Dynamite,Dynamite - EDM Remix,"14,032,406","62,804"
Dynamite,Dynamite - Poolside Remix,"9,233,041","54,513"
Dynamite,Dynamite - Tropical Remix,"17,669,981","226,594"
Butter / Permission to Dance,Butter (Instrumental),"41,046,764","51,133"
Butter / Permission to Dance,Permission to Dance,"504,739,789","5,891,836"
Butter / Permission to Dance,Permission to Dance (Instrumental),"17,902,654","33,696"
Butter,Butter - Cooler Remix,"29,754,422","76,625"
Butter,Butter - Hotter Remix,"42,558,159","161,903"
Butter,Butter - Sweeter Remix,"26,070,564","65,003"
For You,Hormone Sensou - Japanese Ver.,"2,807,862","19,316"
For You,Let Me Know - Japanese Ver.,"1,848,162","12,232"
MIC Drop,MIC Drop (feat. Desiigner) [Steve Aoki Remix],"190,005,794","299,906"
Danger,Miss Right - Japanese Ver.,"2,778,121","20,641"
Danger,Shingeki no Boudan - Sonpub Remix,"1,308,682","20,549"
Boy In Luv,Just One Day - Japanese Ver.,"1,428,670","11,111"
Come Back Home,Come Back Home,"47,346,242","300,496"
FAKE LOVE/Airplane pt.2,FAKE LOVE - Japanese ver. / Remix,"3,034,388","11,644"
Waste It On Me,Waste It On Me (feat. BTS),"243,816,458","983,096"
SUGA's Interlude,SUGA's Interlude,"78,912,641","713,112"
Make It Right,Make It Right (feat. Lauv) - Acoustic Remix,"8,105,517","63,818"
