ALBUM,SONG,PREV
Red,Forever Winter (Taylor's Version) (From The Vault),"40,335,448"
Red,Girl At Home (Taylor's Version),"27,074,310"
Red,Holy Ground (Taylor's Version),"36,026,929"
Red,I Almost Do (Taylor's Version),"40,195,823"
Red,I Bet You Think About Me (feat. Chris Stapleton) (Taylor???s Version) (From The Vault),"93,580,536"
Red,I Knew You Were Trouble (Taylor's Version),"85,292,957"
Red,Message In A Bottle (Taylor's Version) (From The Vault),"94,931,043"
Red,Nothing New (feat. Phoebe Bridgers) (Taylor???s Version) (From The Vault),"90,128,055"
Red,Red (Taylor's Version),"100,990,749"
Red,Ronan (Taylor's Version),"20,182,877"
Red,Run (feat. Ed Sheeran) (Taylor???s Version) (From The Vault),"75,651,135"
Red,Sad Beautiful Tragic (Taylor's Version),"33,398,756"
Red,Starlight (Taylor's Version),"30,302,420"
Red,State Of Grace (Acoustic Version) (Taylor's Version),"24,269,834"
Red,State Of Grace (Taylor's Version),"55,713,755"
Red,Stay Stay Stay (Taylor's Version),"39,541,158"
Red,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor???s Version),"42,425,973"
Red,The Lucky One (Taylor's Version),"32,121,867"
Red,The Moment I Knew (Taylor's Version),"31,121,395"
Red,The Very First Night (Taylor's Version) (From The Vault),"66,755,733"
Red,Treacherous (Taylor's Version),"47,588,578"
Red,We Are Never Ever Getting Back Together (Taylor's Version),"72,736,448"
Fearless,Breathe (feat. Colbie Caillat) (Taylor???s Version),"30,000,726"
Fearless,Bye Bye Baby (Taylor???s Version) (From The Vault),"26,225,032"
Fearless,Change (Taylor???s Version),"20,576,596"
Fearless,Come In With The Rain (Taylor???s Version),"18,389,378"
Fearless,Don???t You (Taylor???s Version) (From The Vault),"32,329,819"
Fearless,Fearless (Taylor???s Version),"58,381,658"
Fearless,Fifteen (Taylor???s Version),"39,878,675"
Fearless,Forever & Always (Piano Version) (Taylor???s Version),"23,486,717"
Fearless,Forever & Always (Taylor???s Version),"41,403,272"
Fearless,Hey Stephen (Taylor???s Version),"37,814,963"
Fearless,Jump Then Fall (Taylor???s Version),"22,774,998"
Fearless,Love Story (Taylor???s Version),"238,406,469"
Fearless,Mr. Perfectly Fine (Taylor???s Version) (From The Vault),"160,001,941"
Fearless,Superstar (Taylor???s Version),"16,915,940"
Fearless,Tell Me Why (Taylor???s Version),"25,781,675"
Fearless,That???s When (feat. Keith Urban) (Taylor???s Version) (From The Vault),"39,158,083"
Fearless,The Best Day (Taylor???s Version),"22,815,719"
Fearless,The Other Side Of The Door (Taylor???s Version),"28,045,269"
Fearless,The Way I Loved You (Taylor???s Version),"114,920,241"
Fearless,Today Was A Fairytale (Taylor???s Version),"23,092,462"
Fearless,Untouchable (Taylor???s Version),"22,708,681"
Fearless,We Were Happy (Taylor???s Version) (From The Vault),"28,725,957"
Fearless,White Horse (Taylor???s Version),"36,904,792"
Fearless,You All Over Me (feat. Maren Morris) (Taylor???s Version) (From The Vault),"69,108,999"
Fearless,You Belong With Me (Taylor???s Version),"144,377,810"
Fearless,You???re Not Sorry (Taylor???s Version),"29,299,089"
evermore,it???s time to go - bonus track,"46,391,377"
evermore,right where you left me - bonus track,"102,052,182"
folklore: the yeah I showed up at your party chapter,betty - Live from the 2020 Academy of Country Music Awards,"6,459,524"
The Taylor Swift Holiday Collection,Christmas Must Be Something More,"3,087,957"
The Taylor Swift Holiday Collection,Christmases When You Were Mine,"3,154,613"
The Taylor Swift Holiday Collection,Last Christmas,"15,073,155"
The Taylor Swift Holiday Collection,Santa Baby,"4,786,414"
The Taylor Swift Holiday Collection,Silent Night,"2,517,820"
The Taylor Swift Holiday Collection,White Christmas,"2,689,895"
Today Was A Fairytale,Today Was A Fairytale,"25,600,264"
Ronan,Ronan,"4,931,231"
Sweeter Than Fiction,"Sweeter Than Fiction - From ""One Chance"" Soundtrack","8,474,041"
Everything Has Changed,Everything Has Changed - Remix,"2,356,976"
Bad Blood,Bad Blood,"99,456,692"
Wildest Dreams,Wildest Dreams - R3hab Remix,"4,907,047"
...Ready For It?,...Ready For It? - BloodPop?? Remix,"18,823,777"
Delicate,Delicate - Seeb Remix,"26,040,507"
Delicate,Delicate - Sawyr And Ryan Tedder Mix,"4,839,957"
Spotify Singles,Delicate - Recorded at The Tracking Room Nashville,"22,326,306"
Spotify Singles,September - Recorded at The Tracking Room Nashville,"44,973,321"
Christmas Tree Farm,Christmas Tree Farm,"81,790,438"
Lover,Lover - First Dance Remix,"11,911,717"
Lover,Lover (Remix) [feat. Shawn Mendes],"202,814,914"
You Need To Calm Down,You Need To Calm Down - Clean Bandit Remix,"11,690,672"
Christmas Tree Farm,Christmas Tree Farm - Recorded Live at the 2019 iHeartRadio Jingle Ball,"1,007,876"
willow,willow - moonlit witch version,"4,295,480"
willow,willow - dancing witch version (Elvira remix),"19,893,155"
willow,willow - lonely witch version,"7,369,669"
cardigan,cardigan - cabin in candlelight version,"20,966,153"
Cornelia Street,Cornelia Street - Live From Paris,"33,761,542"
Daylight,Daylight - Live From Paris,"10,008,330"
Death By A Thousand Cuts,Death By A Thousand Cuts - Live From Paris,"19,799,949"
Lover,Lover - Live From Paris,"4,943,745"
